preusuel,sexe,annais,nombre
ANGE,54,72342,4858
MAUD,36,36171,4847
YLAN,18,36171,4840
ANATOLE,18,36171,4796
ILIAN,18,36171,4785
CHAIMA,36,36171,4782
ELIA,54,72342,4760
ELÉNA,20,20132,4757
NAHIL,18,36171,4741
TIPHAINE,43,50208,4732
ESTHER,36,36171,4707
CÔME,22,32227,4699
ALIYA,36,36171,4681
AYDEN,37,52308,4670
TIMOTHÉ,11,22143,4667
ILYANA,36,36171,4663
MÉLINE,22,22142,4659
ZOE,22,22143,4658
YOAN,18,36171,4629
LAETITIA,36,36171,4614
THÉA,18,18126,4603
SHANNA,36,36171,4596
EMA,36,36171,4574
ALYCIA,36,36171,4561
BÉRÉNICE,36,36171,4558
OLIVIER,18,36171,4531
DINA,36,36171,4521
LOUANNE,36,36171,4511
SAM,54,72342,4504
ORIANE,36,36171,4496
RAFAËL,11,22141,4492
NILS,18,36171,4485
ANDREA,29,38257,4478
JESSY,54,72342,4473
AVA,36,36171,4444
LINO,18,36171,4443
MAÏSSA,26,26153,4427
MAE,54,72342,4425
JOSEPHINE,36,36171,4424
NORAH,36,36171,4416
MALIK,18,36171,4410
CLEMENT,12,24144,4392
EDGAR,18,36171,4389
DOUNIA,36,36171,4379
ADEL,20,38189,4362
DAPHNÉ,36,36171,4360
MATTEO,14,28151,4350
SELENA,36,36171,4332
ANAËLLE,32,32161,4329
GREGORY,18,36171,4328
LALIE,36,36171,4319
JENNA,36,36171,4314
IMRANE,18,36171,4310
LYANA,36,36171,4299
MARILOU,36,36171,4295
AUGUSTE,18,36171,4272
PAOLO,18,36171,4272
BILEL,18,36171,4267
ALESSIO,18,36171,4262
HELENA,36,36171,4252
LINDSAY,39,42191,4241
MATHEO,12,24150,4235
CHRISTOPHER,18,36171,4232
NAWEL,52,68324,4214
KHADIJA,36,36171,4209
ANGEL,54,72342,4191
MAYLIS,36,36171,4183
GIANNI,18,36171,4176
MARVIN,18,36171,4149
THIBAUD,18,36171,4142
ZELIE,36,36171,4124
OMAR,18,36171,4117
TEDDY,18,36171,4115
CYPRIEN,18,36171,4103
LINE,36,36171,4100
EVANN,18,36171,4080
FIONA,36,36171,4052
NATHANAËL,12,22148,4052
LILLY,36,36171,4042
JOHANNA,36,36171,4022
JAMES,18,36171,4018
MAÉ,28,38260,4015
CAMERON,54,72342,3995
SÉRÉNA,36,36171,3992
KARIM,18,36171,3987
HENRI,18,36171,3987
NOLWENN,38,40174,3955
LILYA,36,36171,3954
JEAN-BAPTISTE,18,36171,3954
STANISLAS,18,36171,3953
LEANDRO,18,36171,3938
FLORINE,36,36171,3932
AMINATA,36,36171,3928
ERWANN,18,36171,3928
CEDRIC,18,36171,3908
EUGÉNIE,36,36171,3905
CYRIL,18,36171,3876
SONIA,36,36171,3871
ILYAN,18,36171,3865
TAO,34,52274,3861
MARYLOU,36,36171,3836
MAYSSA,36,36171,3825
ILHAN,18,36171,3822
MELVYN,18,36171,3821
WARREN,18,36171,3814
ELYA,41,46232,3811
HECTOR,18,36171,3806
LUDOVIC,18,36171,3801
CLOVIS,18,36171,3785
BRICE,18,36171,3773
BLANCHE,36,36171,3765
KIARA,36,36171,3755
ALINE,36,36171,3745
CHARLÈNE,36,36171,3738
MARLEY,42,60320,3732
FLAVIEN,18,36171,3722
CALIE,30,30165,3703
AUBIN,18,36171,3697
ISSAM,18,36171,3691
HÉLÈNE,36,36171,3683
JOACHIM,18,36171,3666
DONOVAN,18,36171,3660
CÉCILE,36,36171,3653
SYRINE,36,36171,3644
ANAÉ,18,18126,3641
THIAGO,18,36171,3629
LEYNA,36,36171,3620
ASHLEY,53,70325,3603
HORTENSE,36,36171,3597
TATIANA,36,36171,3597
YAEL,54,72342,3596
YOUSRA,36,36171,3590
ANAIS,26,26152,3583
LIA,36,36171,3583
XAVIER,18,36171,3566
SALIM,18,36171,3557
COME,20,38180,3553
JOAN,54,72342,3553
MADELEINE,36,36171,3552
GWENDOLINE,36,36171,3548
MAIWENN,38,40179,3542
MOHAMED-AMINE,18,36171,3540
ALIYAH,36,36171,3535
ANTON,18,36171,3532
MYLAN,18,36171,3518
MAIA,36,36171,3514
BRANDON,18,36171,3512
ELYNE,36,36171,3492
NESRINE,36,36171,3491
PAOLA,36,36171,3471
LUIS,18,36171,3470
NAIM,18,36171,3437
MAËVA,34,34167,3424
SWAN,54,72342,3422
CLOÉ,20,20127,3404
HAJAR,37,38175,3389
TIFFANY,36,36171,3381
MATYS,18,36171,3367
HIPPOLYTE,18,36171,3357
EZIO,18,36171,3354
KELYAN,18,36171,3346
MAXIMILIEN,18,36171,3343
CÉCILIA,36,36171,3336
JOSÉPHINE,22,22137,3334
LAURYNE,36,36171,3325
MINA,36,36171,3313
ISMAIL,18,36171,3297
SAFIA,36,36171,3285
ADELINE,36,36171,3276
CELESTE,49,62264,3275
LIVIO,18,36171,3258
THALIA,36,36171,3252
ABDALLAH,18,36171,3246
ORNELLA,36,36171,3227
CASSIE,36,36171,3225
COLIN,18,36171,3221
SOUMAYA,36,36171,3220
LAURIE,36,36171,3216
JOY,54,72342,3216
SAMANTHA,36,36171,3216
LUBIN,18,36171,3202
KIM,54,72342,3199
MAMADOU,18,36171,3197
GIOVANNI,18,36171,3196
ASSYA,36,36171,3195
JUDITH,36,36171,3185
HANA,36,36171,3182
REBECCA,36,36171,3179
AICHA,36,36171,3174
RONAN,18,36171,3170
HAYDEN,44,62327,3164
DEBORAH,36,36171,3161
YUNA,36,36171,3160
NELSON,18,36171,3145
GAELLE,36,36171,3141
ANASTASIA,36,36171,3135
SOLAL,18,36171,3121
ASTRID,36,36171,3119
CALVIN,18,36171,3116
OCTAVE,18,36171,3116
MALAK,44,52271,3112
MATTHÉO,18,36171,3107
WAEL,18,36171,3096
GUSTAVE,18,36171,3091
ELIF,36,36171,3083
ELÉA,20,20135,3082
KENNY,30,48215,3063
LEÏLA,30,30165,3056
ANAE,36,36171,3051
NOHA,54,72342,3050
ALYSSIA,36,36171,3047
SORAYA,36,36171,3044
MARCEL,18,36171,3043
MELINDA,36,36171,3041
MIGUEL,18,36171,3040
SIXTINE,36,36171,3037
CÉLESTE,30,38252,3030
SOULEYMANE,18,36171,3029
ILANA,36,36171,3024
LOUANN,53,70324,3024
NEYLA,36,36171,3022
AYMAN,18,36171,3017
SAFA,40,44202,3016
CYRIELLE,36,36171,3014
MATTHEW,18,36171,3011
MARCO,18,36171,3009
LOUCA,22,40194,3009
NAHEL,44,62301,3001
TYMÉO,9,18126,3000
ELÉONORE,26,26143,2996
VANESSA,36,36171,2994
MAYRON,18,36171,2992
ERIC,18,36171,2990
EMNA,36,36171,2986
RYAD,18,36171,2985
FLORE,36,36171,2984
MELINA,20,20129,2982
SYLVAIN,18,36171,2965
LILAS,36,36171,2957
MELISSA,34,34165,2956
LYDIA,36,36171,2949
KELYA,36,36171,2946
MAELINE,36,36171,2939
YOHANN,18,36171,2931
HAFSA,36,36171,2930
GUILHEM,18,36171,2928
WESLEY,18,36171,2928
ELOI,18,36171,2907
CINDY,36,36171,2904
ELYES,18,36171,2893
HAWA,36,36171,2892
LAURIANE,36,36171,2891
LINDA,36,36171,2887
ELYNA,36,36171,2887
HANNAH,36,36171,2887
LOANN,54,72342,2886
EMIE,36,36171,2886
ALEXY,30,48252,2872
ZACHARIE,18,36171,2868
RUDY,20,38172,2867
EMIR,18,36171,2857
ROSALIE,36,36171,2851
SHAYNA,36,36171,2850
STÉPHANE,18,36171,2841
NOELIE,36,36171,2839
FLAVIO,18,36171,2839
CELIAN,18,36171,2834
ELYAS,18,36171,2829
AÏCHA,22,22137,2816
ERINE,36,36171,2813
HADRIEN,18,36171,2780
KIMBERLEY,36,36171,2777
REDA,18,36171,2774
KAMIL,18,36171,2770
PHILIPPINE,36,36171,2770
MARCUS,18,36171,2769
SOREN,22,40185,2768
THEA,36,36171,2766
JANA,36,36171,2760
MAELIE,36,36171,2758
DANY,32,50228,2756
CHRIS,28,46205,2755
AUGUSTINE,36,36171,2745
MYLA,36,36171,2741
JULINE,36,36171,2734
ALIA,36,36171,2727
ILIANA,36,36171,2723
LUCILLE,36,36171,2723
CLOTILDE,36,36171,2713
DIANA,36,36171,2711
VIRGILE,18,36171,2700
MERIEM,36,36171,2689
JEREMIE,18,36171,2685
MONA,36,36171,2683
CELIA,26,26152,2677
NABIL,18,36171,2670
YUSUF,18,36171,2667
ELISABETH,36,36171,2664
ENES,18,36171,2662
YOUCEF,18,36171,2659
TANIA,36,36171,2656
NELL,53,70340,2655
RAPHAELLE,36,36171,2646
AURIANE,36,36171,2644
CLEO,49,62263,2638
MELLINA,36,36171,2625
NAYLA,36,36171,2623
MILLA,36,36171,2619
MELODY,36,36171,2615
YASSIN,18,36171,2609
NAÏLA,20,20134,2609
AUDE,36,36171,2608
EMMANUELLE,36,36171,2606
LEONARD,18,36171,2602
KASSANDRA,36,36171,2597
NOHAN,18,36171,2594
MAÏWENN,25,30207,2594
ALISON,36,36171,2593
LÉONARD,9,18126,2592
GAËL,11,22142,2592
MARWANE,18,36171,2592
AMY,36,36171,2587
CLEMENCE,18,18126,2573
SAFIYA,36,36171,2572
KARL,18,36171,2567
STACY,36,36171,2557
BERTILLE,37,38179,2555
SAMIA,36,36171,2554
ANGELA,36,36171,2553
HANAE,36,36171,2548
IMENE,36,36171,2545
LOUCAS,18,36171,2544
ISAURE,36,36171,2542
ANNABELLE,36,36171,2541
LEONIE,18,18126,2537
HIND,36,36171,2529
STAN,18,36171,2529
YASMINA,36,36171,2525
ILIES,18,36171,2521
ALESSANDRO,18,36171,2515
MADISON,45,54245,2510
HAROUN,18,36171,2507
ADRIAN,18,36171,2507
MELODIE,36,36171,2505
SANDRA,36,36171,2501
TALIA,36,36171,2501
SHAINA,36,36171,2501
JIBRIL,18,36171,2500
GAUTIER,18,36171,2498
LYLIA,36,36171,2498
LENZO,18,36171,2492
ELOANE,36,36171,2492
SABRI,18,36171,2476
MARLON,18,36171,2469
TINO,18,36171,2463
CLELIA,36,36171,2462
ANNAELLE,36,36171,2460
MARIANNE,36,36171,2460
JAYDEN,34,48296,2459
JANNA,36,36171,2459
JOHANN,22,40184,2457
VALENTINA,36,36171,2454
FLEUR,36,36171,2448
HANAÉ,18,18126,2446
MERYEM,36,36171,2445
KHALIL,18,36171,2443
ELORA,36,36171,2443
ELLIE,37,38189,2443
FLORIANE,36,36171,2436
CHRISTOPHE,18,36171,2435
ANTONY,18,36171,2433
LAYANA,36,36171,2422
ADIL,18,36171,2420
ARSÈNE,10,20134,2413
TINA,36,36171,2413
IYAD,18,36171,2412
SIDONIE,36,36171,2407
LORENA,36,36171,2405
GWENAELLE,36,36171,2404
PACO,18,36171,2404
ELIJAH,54,72342,2400
EMMIE,36,36171,2393
LEOPOLD,18,36171,2387
ANNE,36,36171,2380
MATT,18,36171,2380
LIANA,36,36171,2373
BRAYAN,18,36171,2370
LESLIE,37,38173,2368
NOAN,42,60249,2363
MAELY,36,36171,2362
JOANA,36,36171,2355
PHILIPPE,18,36171,2339
DORIANE,41,46193,2337
ANGELINE,36,36171,2335
LEANA,18,18126,2334
NAYA,36,36171,2333
AYLAN,18,36171,2325
NAELLE,36,36171,2321
ILIAS,18,36171,2317
ÉLISE,18,18126,2312
MAXINE,36,36171,2311
LÉANDRO,10,20135,2310
GWENDAL,18,36171,2296
CYNTHIA,36,36171,2291
SELIM,18,36171,2289
JOEY,54,72342,2287
JENNIFER,36,36171,2285
KAHINA,36,36171,2284
RIYAD,18,36171,2283
MATISSE,34,52212,2279
ALMA,36,36171,2279
JULIANA,36,36171,2277
THEOPHILE,18,36171,2276
NAËLLE,20,20135,2275
YONI,18,36171,2257
KILYAN,18,36171,2254
EMERIC,18,36171,2252
ANGELIQUE,34,34154,2251
FANTINE,36,36171,2247
ANTONIO,18,36171,2247
CORALINE,36,36171,2244
TASNIM,40,44202,2242
PIERRICK,18,36171,2239
TAMARA,36,36171,2230
LISANDRO,14,28161,2229
NAILA,36,36171,2224
MICHEL,18,36171,2224
VADIM,18,36171,2221
LUCIA,36,36171,2218
EDDY,18,36171,2216
NADIR,18,36171,2215
MAUREEN,36,36171,2206
JESSIM,18,36171,2203
IZIA,36,36171,2200
JOYCE,54,72342,2196
JACQUES,18,36171,2187
LILIE,36,36171,2173
SOFIAN,18,36171,2173
CESAR,18,36171,2169
SOLENN,36,36171,2166
SAMIR,18,36171,2165
ALOIS,38,56226,2164
FLORENTIN,18,36171,2163
PRUNE,36,36171,2162
MAYLINE,36,36171,2162
ISMAÏL,9,18126,2159
ALESSIA,36,36171,2159
AALIYAH,36,36171,2158
BLANDINE,36,36171,2148
EMILY,36,36171,2142
BRIAN,18,36171,2136
MARIE-LOU,36,36171,2136
JAWAD,18,36171,2131
NOÉLIE,20,20135,2127
ESMA,36,36171,2126
LAURENT,18,36171,2121
AMBROISE,26,44216,2120
MATHILDA,36,36171,2119
YAELLE,36,36171,2116
MAXIM,18,36171,2110
GASTON,18,36171,2106
LORINE,36,36171,2106
IVAN,18,36171,2105
JIHANE,36,36171,2100
PIERRE-LOUIS,18,36171,2096
ZAHRA,36,36171,2094
MAËLY,20,20135,2088
OCEANE,30,30156,2069
MYLÈNE,36,36171,2067
ALEYNA,36,36171,2067
AYLIN,36,36171,2059
KAYLA,36,36171,2055
IDRIS,18,36171,2053
WISSEM,54,72342,2052
LEELOU,36,36171,2049
CARMEN,36,36171,2046
OLYMPE,41,46249,2038
SULLIVAN,18,36171,2038
MAËLYNE,20,20135,2033
GRACE,45,54256,2028
TOMMY,18,36171,2020
AYMANE,18,36171,2016
YOUSSOUF,18,36171,2014
ABDOULAYE,18,36171,2013
TARA,36,36171,2013
ISABELLE,36,36171,2008
ERIN,41,46241,2008
KENAN,18,36171,2007
AMBRINE,36,36171,2007
LIYA,36,36171,2007
MATTHIS,18,36171,2005
GABRIELLA,36,36171,1997
ELONA,36,36171,1996
NADIA,36,36171,1996
LEANNE,36,36171,1995
LÉOPOLD,9,18126,1994
ALBIN,18,36171,1988
MAËLINE,18,18126,1987
KELIAN,18,36171,1984
JAD,48,66326,1983
THELMA,36,36171,1982
MANELLE,36,36171,1981
KESSY,47,58271,1972
